Ammo Description,CARTRIDGE,BULLET,BULLET,BULLET,ITEM #,B.C.,Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),GEE,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory
Product Line,CARTRIDGE,BULLET,Weight (gr.),Weight (g),ITEM #,B.C.,0m,50m,100m,150m,200m,250m,300m,0m,50m,100m,150m,200m,250m,300m,0m,50m,100m,150m,200m,250m,300m,GEE,0m,50m,100m,150m,200m,250m,300m
DG,375 Ruger,300 gr. DGX Bonded,300.0,19.4,82336,0.275,811.0,757.0,706.0,656.0,608.0,562.0,518.0,6390.0,5576.0,4842.0,4183.0,3594.0,3070.0,2605.0,-5.0,-0.4,0.0,-4.6,-14.9,-31.8,-56.5,162.0,-5.0,1.6,4.0,1.4,-6.9,-21.8,-44.5
DG,375 Ruger,300 gr. DGS,300.0,19.4,8232,0.275,811.0,757.0,706.0,656.0,608.0,562.0,518.0,6390.0,5576.0,4842.0,4183.0,3594.0,3070.0,2605.0,-5.0,-0.4,0.0,-4.6,-14.9,-31.8,-56.5,162.0,-5.0,1.6,4.0,1.4,-6.9,-21.8,-44.5
DG,"4 E 5 xp 0- r 4 e 0 ss 0 3 N "" itro",400 gr. DGX Bonded,400.0,25.9,82432,0.325,625.0,586.0,548.0,511.0,476.0,442.0,409.0,5060.0,4446.0,3889.0,3386.0,2933.0,2527.0,2165.0,-5.0,1.1,0.0,-9.3,-27.9,-57.5,-99.6,134.0,-5.0,3.1,4.0,-3.3,-19.9,-47.5,-87.6
DG,"4 E 5 xp 0- r 4 e 0 ss 0 3 N "" itro",400 gr. DGS,400.0,25.9,8242,0.325,625.0,586.0,548.0,511.0,476.0,442.0,409.0,5060.0,4446.0,3889.0,3386.0,2933.0,2527.0,2165.0,-5.0,1.1,0.0,-9.3,-27.9,-57.5,-99.6,134.0,-5.0,3.1,4.0,-3.3,-19.9,-47.5,-87.6
C,405 Win,300 gr. InterLock SP,300.0,19.4,8241,0.25,671.0,618.0,567.0,519.0,473.0,428.0,387.0,4371.0,3711.0,3128.0,2617.0,2171.0,1784.0,1452.0,-5.0,0.7,0.0,-8.4,-25.9,-54.4,-96.2,138.0,-5.0,2.7,4.0,-2.4,-17.9,-44.4,-84.2
DG,416 Ruger,400 gr. DGX Bonded,400.0,25.9,82667,0.319,732.0,688.0,646.0,605.0,565.0,527.0,490.0,6936.0,6134.0,5404.0,4741.0,4141.0,3600.0,3114.0,-5.0,0.1,0.0,-6.0,-18.7,-39.1,-68.3,150.0,-5.0,2.1,4.0,0.0,-10.7,-29.1,-56.3
DG,416 Ruger,400 gr. DGS,400.0,25.9,82666,0.319,732.0,688.0,646.0,605.0,565.0,527.0,490.0,6936.0,6134.0,5404.0,4741.0,4141.0,3600.0,3114.0,-5.0,0.1,0.0,-6.0,-18.7,-39.1,-68.3,150.0,-5.0,2.1,4.0,0.0,-10.7,-29.1,-56.3
DG,416 Rem Mag,400 gr. DGX Bonded,400.0,25.9,82672,0.319,732.0,688.0,646.0,605.0,565.0,527.0,490.0,6936.0,6134.0,5404.0,4741.0,4141.0,3600.0,3114.0,-5.0,0.1,0.0,-6.0,-18.7,-39.1,-68.3,150.0,-5.0,2.1,4.0,0.0,-10.7,-29.1,-56.3
DG,416 Rem Mag,400 gr. DGS,400.0,25.9,82674,0.319,732.0,688.0,646.0,605.0,565.0,527.0,490.0,6936.0,6134.0,5404.0,4741.0,4141.0,3600.0,3114.0,-5.0,0.1,0.0,-6.0,-18.7,-39.1,-68.3,150.0,-5.0,2.1,4.0,0.0,-10.7,-29.1,-56.3
DG,416 Rigby,400 gr. DGX Bonded,400.0,25.9,82661,0.319,736.0,692.0,650.0,609.0,569.0,531.0,494.0,7023.0,6213.0,5476.0,4806.0,4199.0,3652.0,3160.0,-5.0,0.1,0.0,-5.9,-18.4,-38.4,-67.2,151.0,-5.0,2.1,4.0,0.1,-10.4,-28.4,-55.2
DG,416 Rigby,400 gr. DGS,400.0,25.9,8265,0.319,736.0,692.0,650.0,609.0,569.0,531.0,494.0,7023.0,6213.0,5476.0,4806.0,4199.0,3652.0,3160.0,-5.0,0.1,0.0,-5.9,-18.4,-38.4,-67.2,151.0,-5.0,2.1,4.0,0.1,-10.4,-28.4,-55.2
DG,404 Jeffery,400 gr. DGX Bonded,400.0,25.9,82381,0.325,701.0,659.0,619.0,580.0,542.0,505.0,470.0,6370.0,5633.0,4962.0,4353.0,3802.0,3305.0,2858.0,-5.0,0.3,0.0,-6.7,-20.8,-43.2,-75.3,145.0,-5.0,2.3,4.0,-0.7,-12.8,-33.2,-63.3
DG,404 Jeffery,400 gr. DGS,400.0,25.9,8239,0.325,701.0,659.0,619.0,580.0,542.0,505.0,470.0,6370.0,5633.0,4962.0,4353.0,3802.0,3305.0,2858.0,-5.0,0.3,0.0,-6.7,-20.8,-43.2,-75.3,145.0,-5.0,2.3,4.0,-0.7,-12.8,-33.2,-63.3
SF,444 Marlin,265 gr. InterLock FP,265.0,17.2,82453,0.189,732.0,659.0,590.0,525.0,463.0,406.0,352.0,4595.0,3726.0,2987.0,2363.0,1843.0,1414.0,1064.0,-5.0,0.3,0.0,-7.4,-23.8,-51.6,-94.3,142.0,-5.0,2.3,4.0,-1.4,-15.8,-41.6,-82.3
LEV,444 Marlin,265 gr. FTX,265.0,17.2,82744,0.225,709.0,648.0,591.0,536.0,484.0,434.0,387.0,4312.0,3610.0,2996.0,2465.0,2008.0,1617.0,1286.0,-5.0,0.4,0.0,-7.5,-23.5,-50.1,-89.7,142.0,-5.0,2.4,4.0,-1.5,-15.5,-40.1,-77.7
AW,450 Bushmaster,245 gr. InterLock,245.0,15.9,82242,0.165,671.0,591.0,517.0,448.0,384.0,325.0,271.0,3570.0,2777.0,2125.0,1595.0,1171.0,838.0,581.0,-5.0,1.0,0.0,-10.3,-32.8,-72.0,-134.4,132.0,-5.0,3.0,4.0,-4.3,-24.8,-62.0,-122.4
C,450 Bushmaster,"250 gr. FTX (20"" Bbl)",250.0,16.2,82244,0.21,671.0,608.0,549.0,492.0,439.0,388.0,341.0,3643.0,2995.0,2437.0,1962.0,1559.0,1222.0,943.0,-5.0,0.8,0.0,-9.0,-28.2,-60.1,-108.3,135.0,-5.0,2.8,4.0,-3.0,-20.2,-50.1,-96.3
B,450 Bushmaster,"250 gr. FTX (20"" Bbl)",250.0,16.2,82246,0.21,671.0,608.0,549.0,492.0,439.0,388.0,341.0,3643.0,2995.0,2437.0,1962.0,1559.0,1222.0,943.0,-5.0,0.8,0.0,-9.0,-28.2,-60.1,-108.3,135.0,-5.0,2.8,4.0,-3.0,-20.2,-50.1,-96.3
SUB,450 Bushmaster,"395 gr. SUB-X (20"" Bbl)",395.0,25.6,82247,0.3,320.0,307.0,296.0,286.0,,,,1311.0,1206.0,1121.0,1049.0,,,,-5.0,10.7,0.0,-38.9,,,,107.0,-5.0,12.4,3.7,-33.7,,,
LEV,45-70 Govt,250 gr. MonoFlex,250.0,16.2,82743,0.182,640.0,570.0,504.0,442.0,384.0,330.0,281.0,3319.0,2632.0,2058.0,1584.0,1196.0,885.0,638.0,-5.0,1.3,0.0,-11.0,-34.6,-74.9,-137.5,130.0,-5.0,3.3,4.0,-5.0,-26.6,-64.9,-125.5
LEV,45-70 Govt,325 gr. FTX,325.0,21.1,82747,0.23,610.0,555.0,504.0,454.0,408.0,364.0,322.0,3914.0,3248.0,2671.0,2175.0,1751.0,1392.0,1092.0,-5.0,1.5,0.0,-11.2,-34.3,-72.2,-128.6,129.0,-5.0,3.5,4.0,-5.2,-26.3,-62.2,-116.6
SUB,45-70 Govt,410 gr. SUB-X,410.0,26.6,82742,0.285,328.0,313.0,300.0,290.0,,,,1429.0,1301.0,1199.0,1115.0,,,,-5.0,10.2,0.0,-37.6,,,,107.0,-5.0,11.9,3.5,-32.6,,,
LEV,450 Marlin,325 gr. FTX,325.0,21.1,82750,0.23,678.0,621.0,566.0,513.0,463.0,416.0,371.0,4844.0,4056.0,3368.0,2772.0,2259.0,1821.0,1449.0,-5.0,0.7,0.0,-8.4,-26.1,-55.3,-98.7,138.0,-5.0,2.7,4.0,-2.4,-18.1,-45.3,-86.7
DG,"450 Nitro Express 3¼""",480 gr. DGX Bonded,480.0,31.1,8257,0.285,655.0,610.0,565.0,523.0,482.0,443.0,405.0,6679.0,5779.0,4972.0,4253.0,3615.0,3052.0,2557.0,-5.0,0.8,0.0,-8.5,-26.0,-54.0,-94.6,137.0,-5.0,2.8,4.0,-2.5,-18.0,-44.0,-82.6
DG,"450 Nitro Express 3¼""",480 gr. DGS,480.0,31.1,8256,0.285,655.0,610.0,565.0,523.0,482.0,443.0,405.0,6679.0,5779.0,4972.0,4253.0,3615.0,3052.0,2557.0,-5.0,0.8,0.0,-8.5,-26.0,-54.0,-94.6,137.0,-5.0,2.8,4.0,-2.5,-18.0,-44.0,-82.6
DG,458 Win Mag,500 gr. DGX Bonded SPF,500.0,32.4,85834,0.295,652.0,608.0,566.0,524.0,485.0,447.0,411.0,6893.0,5992.0,5182.0,4456.0,3810.0,3237.0,2731.0,-5.0,0.8,0.0,-8.5,-25.9,-53.8,-94.0,137.0,-5.0,2.8,4.0,-2.5,-17.9,-43.8,-82.0
DG,458 Win Mag,500 gr. DGS SPF,500.0,32.4,8585,0.295,652.0,608.0,566.0,524.0,485.0,447.0,411.0,6893.0,5992.0,5182.0,4456.0,3810.0,3237.0,2731.0,-5.0,0.8,0.0,-8.5,-25.9,-53.8,-94.0,137.0,-5.0,2.8,4.0,-2.5,-17.9,-43.8,-82.0
DG,458 Lott,500 gr. DGX Bonded,500.0,32.4,82614,0.295,701.0,655.0,611.0,568.0,527.0,487.0,449.0,7962.0,6953.0,6042.0,5224.0,4492.0,3840.0,3261.0,-5.0,0.4,0.0,-6.9,-21.5,-44.9,-78.7,144.0,-5.0,2.4,4.0,-0.9,-13.5,-34.9,-66.7
DG,458 Lott,500 gr. DGS,500.0,32.4,8262,0.295,701.0,655.0,611.0,568.0,527.0,487.0,449.0,7962.0,6953.0,6042.0,5224.0,4492.0,3840.0,3261.0,-5.0,0.4,0.0,-6.9,-21.5,-44.9,-78.7,144.0,-5.0,2.4,4.0,-0.9,-13.5,-34.9,-66.7
DG,470 Nitro Express,500 gr. DGX Bonded,500.0,32.4,82631,0.29,655.0,610.0,567.0,525.0,485.0,446.0,409.0,6958.0,6035.0,5207.0,4467.0,3809.0,3227.0,2714.0,-5.0,0.8,0.0,-8.4,-25.8,-53.6,-93.7,137.0,-5.0,2.8,4.0,-2.4,-17.8,-43.6,-81.7
DG,470 Nitro Express,500 gr. DGS,500.0,32.4,8264,0.29,655.0,610.0,567.0,525.0,485.0,446.0,409.0,6958.0,6035.0,5207.0,4467.0,3809.0,3227.0,2714.0,-5.0,0.8,0.0,-8.4,-25.8,-53.6,-93.7,137.0,-5.0,2.8,4.0,-2.4,-17.8,-43.6,-81.7
DG,"500 Nitro Express 3""",570 gr. DGX Bonded,570.0,36.9,82689,0.295,646.0,602.0,560.0,519.0,480.0,442.0,406.0,7712.0,6699.0,5790.0,4976.0,4251.0,3609.0,3042.0,-5.0,0.9,0.0,-8.7,-26.6,-55.1,-96.2,136.0,-5.0,2.9,4.0,-2.7,-18.6,-45.1,-84.2
DG,"500 Nitro Express 3""",570 gr. DGS,570.0,36.9,8269,0.295,646.0,602.0,560.0,519.0,480.0,442.0,406.0,7712.0,6699.0,5790.0,4976.0,4251.0,3609.0,3042.0,-5.0,0.9,0.0,-8.7,-26.6,-55.1,-96.2,136.0,-5.0,2.9,4.0,-2.7,-18.6,-45.1,-84.2
M,50 BMG,"750 gr. A-MAX (36"" Bbl)",750.0,48.6,8270,1.05,858.0,843.0,829.0,815.0,800.0,786.0,772.0,17891.0,17287.0,16698.0,16125.0,15566.0,15022.0,14492.0,-5.0,-0.8,0.0,-2.8,-9.3,-19.6,-33.9,189.0,-5.0,1.2,4.0,3.2,-1.3,-9.6,-21.9
